city,date,cpi,violent crime,property crime,patents,population,unemployment,case shiller,education and health,medical care,motor fuel,income,food and bev,DOW,SP500,NASDAQ
portland,07-15,245.405,949.0,7848.0,312.0,797.1765,5.0,181.66276313298698,0.20550965714027697,540.855,231.202,50679.50000000001,232.739,17795.322272727273,2093.566590909091,5084.210227272727
portland,08-15,245.69466666666668,949.0,7848.0,288.0,798.2520833333333,4.7,183.82255574103803,0.20505608347592746,540.0483333333334,225.20783333333333,50765.58333333334,232.66533333333334,17088.17428571428,2042.897142857143,4937.388571428572
portland,09-15,245.98433333333332,949.0,7848.0,289.0,799.3276666666667,4.4,185.92155119714403,0.20564276904150194,539.2416666666667,219.21366666666665,50851.66666666667,232.59166666666667,16346.566190476191,1945.8333333333333,4751.441666666666
portland,10-15,246.274,949.0,7848.0,313.0,800.40325,4.3,188.15432650018397,0.20627981853781951,538.435,213.21949999999998,50937.75,232.518,17152.092727272728,2021.3761363636368,4871.535909090909
portland,11-15,246.56366666666668,949.0,7848.0,371.0,801.4788333333333,4.1,190.14300609724097,0.20658809242818055,537.6283333333333,207.2253333333333,51023.833333333336,232.44433333333333,17721.21425,2080.44625,5080.183500000001
portland,12-15,246.85333333333332,949.0,7848.0,276.0,802.5544166666666,3.9,192.01308429957902,0.2068861499040171,536.8216666666667,201.23116666666664,51109.91666666667,232.37066666666666,17549.882499999996,2055.0429545454544,5044.084318181819
portland,01-16,247.143,3223.0,33321.0,297.0,803.63,4.2,194.09316902357497,0.20750659893496634,536.015,195.237,51196.0,232.297,16332.123421052633,1921.6184210526317,4617.361842105263
portland,02-16,247.90416666666667,3223.0,33321.0,286.0,804.0101666666667,4.3,195.625445496097,0.20819340663840236,535.2445,198.68483333333333,51428.833333333336,232.3845,16300.157000000001,1904.61175,4462.882250000001
portland,03-16,248.66533333333334,3223.0,33321.0,347.0,804.3903333333333,4.4,197.446955197444,0.2082688523664904,534.474,202.13266666666667,51661.66666666667,232.472,17274.267954545452,2018.7834090909091,4746.914318181819
portland,04-16,249.4265,3223.0,33321.0,310.0,804.7705,4.1,199.05474627008599,0.2088272654340101,533.7035000000001,205.5805,51894.50000000001,232.5595,17841.613095238095,2075.3045238095233,4892.067619047619
portland,05-16,250.18766666666667,3223.0,33321.0,309.0,805.1506666666667,3.8,200.654703891587,0.20866119791542162,532.9330000000001,209.02833333333334,52127.33333333334,232.64700000000002,17692.783095238097,2064.8228571428576,4784.285476190477
