atlanta,boston,chicago,cleveland,dallas,denver,detroit,la,miami,minneapolis,nyc,phoenix,portland,sf,seattle,tampa,dc,date,cpi,crimes_reported,crimes_cleared,patents,population,unemployment,case_shiller,dow,nasdaq,sp,label
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,08-08,240.55,48430,0,1280,8373.673333333334,5.6,191.069955012795,168.944502164189,11516.91761904762,2387.0783333333334,1280.0842857142857
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,09-08,240.089,48430,0,1462,8377.446666666667,5.5,189.65635197970101,170.355397277661,11133.670714285712,2212.4869047619045,1219.364761904762
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10-08,238.403,48430,0,1429,8381.220000000001,5.6,187.80843205109102,171.398255665767,9198.385000000002,1735.7747826086957,971.3326086956522
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11-08,234.498,48430,0,1133,8384.993333333334,5.9,185.505996913033,172.49414384958,8625.362894736842,1546.4684210526316,884.3731578947369
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12-08,233.012,48430,0,1431,8388.766666666668,6.5,183.314586567221,172.822331458493,8587.00931818182,1523.3570454545456,876.7984090909089
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,01-09,233.402,46357,0,1214,8392.54,7.7,181.57003961366001,173.54898227043998,8414.272500000001,1538.2812500000005,866.4837500000001
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,02-09,234.663,46357,0,1254,8375.670416666668,8.2,179.33778944236,173.54994644862597,7713.972894736843,1486.0457894736844,806.2705263157894
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,03-09,235.067,46357,0,1558,8358.800833333335,8.2,176.18832829735402,173.427296346195,7222.918181818183,1430.2577272727272,756.6002272727274
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,04-09,235.582,46357,0,1195,8341.931250000001,7.8,173.39651736014,173.31340202839402,7978.375714285714,1635.9050000000002,846.082857142857
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,05-09,235.975,46357,0,1098,8325.061666666668,8.1,172.861794711297,173.48266714216498,8389.25725,1725.9142500000003,901.9354999999999
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,06-09,237.172,46357,0,1270,8308.192083333335,8.5,172.248847606191,174.182072924957,8593.84159090909,1826.0268181818183,926.0670454545453
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,07-09,237.6,46357,0,1328,8291.322500000002,8.6,172.293585498125,174.69883548819197,8662.936590909092,1870.090681818182,934.2031818181817
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,08-09,238.282,46357,0,1172,8274.452916666667,8.6,172.31526829593602,174.879176945088,9366.421666666667,1996.5483333333336,1008.9714285714284
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,09-09,238.568,46357,0,1198,8257.583333333334,8.6,172.425548729011,174.864697490813,9629.33595238095,2082.7561904761906,1044.124761904762
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10-09,238.38,46357,0,1158,8240.71375,8.7,172.38344520862702,174.786778365467,9857.498863636365,2125.615681818181,1068.3361363636361
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11-09,238.777,46357,0,1289,8223.844166666668,8.6,171.769421020796,174.657702293255,10210.60025,2140.305,1086.8764999999999
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12-09,238.427,46357,0,1187,8206.974583333335,8.9,171.96764977822102,175.558000478176,10431.2125,2220.1499999999996,1110.2786363636362
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,01-10,238.97,48489,0,1081,8190.105000000001,9.6,172.359355993314,176.137378092563,10480.384473684211,2271.3465789473685,1124.2913157894739
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,02-10,238.862,48489,0,1141,8197.001583333335,9.6,172.440573466902,176.773854015389,10206.909999999998,2191.81,1088.3113157894738
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,03-10,240.101,48489,0,1390,8203.898166666668,9.2,172.262510340451,176.67991617182702,10665.694782608694,2359.5576086956526,1150.7454347826088
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,04-10,240.529,48489,0,1160,8210.794750000001,8.6,171.97297076709,177.643067042836,11048.115714285714,2474.5054761904757,1197.0292857142858
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,05-10,241.075,48489,0,1101,8217.691333333334,8.4,172.285860681447,178.226178592042,10520.76425,2322.0790000000006,1127.0842499999999
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,06-10,240.817,48489,0,1135,8224.587916666667,8.5,172.554704960709,178.67285292198798,10167.210227272728,2239.3338636363637,1084.7620454545454
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,07-10,241.147,48489,0,1117,8231.4845,8.7,172.832184638555,178.867335435173,10205.620714285715,2208.376666666667,1078.2959523809525
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,08-10,241.569,48489,0,1090,8238.381083333334,8.6,171.86048699468398,179.151222383528,10358.134090909092,2204.8168181818182,1087.7181818181818
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,09-10,241.485,48489,0,1140,8245.277666666667,8.3,171.602996570414,179.37867354861402,10579.56,2295.233809523809,1120.19
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10-10,241.981,48489,0,1262,8252.17425,8.3,169.28880363244,179.656011867008,11036.521666666667,2439.409285714286,1170.7783333333332
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11-10,241.96,48489,0,1074,8259.070833333333,8.5,168.781229113656,180.331121679981,11199.336666666666,2530.055238095238,1198.5607142857143
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12-10,241.874,48489,0,1102,8265.967416666666,8.3,168.306499011399,180.450157453196,11451.93090909091,2630.7677272727265,1240.2122727272726
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,01-11,242.639,51209,0,987,8272.864,9.0,167.190598234433,180.47222844448999,11794.15075,2716.853,1281.9865000000002
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,02-11,243.832,51209,0,1075,8279.01825,8.9,166.610367605764,180.563693488967,12180.059210526315,2780.2952631578946,1319.7305263157898
